No.,Position X,Position Y,Position Z
1, -0.9442625, 1.673773, -1.314903
2, 1.871871, 3.321549, -2.371747
3, -0.1716995, 3.749766, -2.810654
4, 2.182028, 1.5785, 1.561445
5, -0.4353528, 1.706683, -1.184683
6, 0.5568542, 0.07588482, -1.84684
7, -2.217166, 1.711105, -0.09399796
8, -1.596641, 2.964612, 2.85005
9, -1.908914, 2.956472, 2.493176
10, 1.98972, 1.993154, 0.9897728
11, -1.88359, 1.48083, -0.727581
12, -1.119536, 1.53069, -2.413789
13, -2.433058, 2.388671, 1.579676
14, 0.341661, 2.487213, -0.01700592
15, -0.8934135, 2.808122, 0.8079481
16, 0.435986, 1.410867, -2.281827
17, -1.6368, 3.015189, 0.8579931
18, 2.478539, 2.152356, 2.740871
19, 1.280458, 1.962829, 1.531311
20, -2.294521, 0.8474264, -1.22237
21, -2.973904, 2.662948, 1.740578
22, 2.567932, 3.393699, 2.284189
23, -0.07323122, 3.208231, -2.089337
24, 2.638309, 2.842415, 0.2059698
25, 2.465203, 0.6891084, -0.6287289
26, 0.20926, 2.558967, -0.04863167
27, 1.316514, 3.488354, -2.230343
28, 0.181458, 0.858151, -2.667604
29, 2.385027, 1.657903, -2.108736
30, -1.093438, 2.245312, 0.5307722
31, -0.5558205, 2.566632, -1.865223
32, -0.4483776, 2.923438, 1.577341
33, -1.354326, 0.8795223, 2.600443
34, 2.46623, 1.968151, -0.489419
35, -0.362515, 2.512625, -0.9475098
36, -1.502216, 1.150513, 1.11013
37, 2.16766, 3.467636, -0.3030987
38, 1.513792, 0.5139728, -1.376425
39, 2.467837, 2.573546, -1.497416
40, -1.848147, 2.705629, 2.022928
41, 1.71206, 3.991939, 2.850199
42, -2.615108, 2.980663, -2.884277
43, -0.4387412, 1.45664, 1.736521
44, -1.749032, 0.4751244, -1.747901
45, -0.2005796, 0.2291155, 1.524092
46, 2.391087, 1.183432, -2.112865
47, -2.314603, 1.432956, -1.210682
48, -1.210304, 1.224119, 2.469913
49, -1.585414, 0.527319, 0.7420702
50, -1.491627, 1.791604, -2.127284
51, 1.628158, 2.800273, -2.232709
52, -0.08510017, 2.687122, -0.9669704
53, -1.074755, 1.549637, 0.9842472
54, 1.3166, 2.456094, 2.670568
55, -1.811269, 1.161319, 0.2877159
56, -1.892775, 2.103182, -0.3913059
57, -2.922107, 3.304044, 0.1762323
58, 2.764164, 2.59868, 0.2053289
59, 2.240071, 2.945177, 1.876863
60, -2.18744, 1.031636, -1.636141
61, -1.20463, 3.186872, -0.7016296
62, 2.542005, 3.79275, 1.933735
63, 2.319538, 0.8306708, 1.546398
64, 1.426005, 0.2817841, 1.239431
65, -1.536669, 3.682256, 2.623196
66, 2.545067, 3.381577, -0.4977713
67, 0.6982059, 0.4726958, 0.4748211
68, -0.2344999, 3.671169, -0.6186295
69, -2.060169, 3.94492, -1.300737
70, 2.48034, 2.992234, 1.787745
71, 0.7129092, 3.649154, -0.9705563
72, -0.197835, 3.716971, 1.243
73, -1.358672, 2.147337, -1.79241
74, 1.020184, 0.7742043, 0.3029184
75, -1.414143, 2.851923, 1.240086
76, 1.372887, 3.600887, 2.253086
77, 1.650743, 2.724294, -2.457359
78, 1.085104, 2.510584, -0.4887667
79, 1.608547, 0.3407278, -2.723927
80, -0.3406897, 1.984218, -1.24807
81, -2.674034, 1.285637, 2.351276
82, 0.01644182, 1.256247, 1.649057
83, 2.155189, 1.418535, 1.410336
84, -0.9939318, 1.613466, 0.9795942
85, -2.338938, 0.432447, -0.9715586
86, -1.646929, 3.415583, -2.227711
87, 2.871487, 0.639657, -1.403618
88, 2.012986, 0.623857, -2.892783
89, -1.666213, 3.197412, -2.928172
90, 0.3264694, 2.44396, 1.247482
91, -1.594012, 2.83596, 2.503838
92, 0.7508053, 0.9403758, 2.12785
93, 1.193195, 0.3189287, 1.471216
94, 0.8380922, 2.876286, -0.0581665
95, 1.828717, 0.9682236, -0.8265944
96, 1.546907, 1.068607, -0.6074181
97, -1.545598, 0.2833796, 1.954189
98, -2.711439, 1.274859, 2.005901
99, -1.906804, 2.37948, -1.024113
100, 0.9828357, 3.289909, -2.924747
101, -0.07309866, 2.040337, 1.389633
102, -2.311831, 3.441626, 0.4872646
103, -0.8527498, 2.986874, 2.143963
104, 0.438015, 3.816218, 2.359983
105, 0.7395205, 0.5371623, -0.1868591
106, -1.792071, 1.307755, 0.8951607
107, 1.0396, 3.560294, 0.08740234
108, -0.2351141, 3.067636, -0.2981453
109, -2.674809, 2.008019, 2.520559
110, 0.7291522, 2.196201, 2.125959
111, 2.706182, 2.192265, -2.756682
112, -0.1053634, 3.675238, -1.611943
113, -0.7727971, 3.06055, -1.94128
114, 1.817431, 3.845226, -0.4133768
115, 1.177874, 2.543001, 0.7193623
116, 0.1372128, 3.375546, 0.6635065
117, 0.04905748, 2.272558, -1.490999
118, -2.017998, 1.536243, 1.918913
119, 2.496854, 1.403171, -1.753462
120, 1.005165, 0.03968287, -2.853926
121, 0.5686064, 2.773848, -1.639772
122, -1.949179, 1.149303, 2.65625
123, -1.64771, 1.904096, -1.474072
124, 2.262172, 1.130192, -2.612245
125, 0.2723527, 2.89815, 2.61828
126, -2.578686, 0.05581713, -0.4497299
127, -1.59462, 2.747365, 0.3499069
128, -0.7535057, 2.588015, -1.782351
129, 2.708499, 0.1465135, -0.3177452
130, -1.575997, 2.218835, 2.898989
131, -0.4866652, 2.620593, 0.2378159
132, 0.3376613, 2.270613, 0.1290073
133, 2.523653, 2.819105, -0.9634018
134, 0.3547244, 3.500824, 1.267847
135, 0.7778033, 3.140137, -2.115368
136, -2.887042, 1.444073, -2.553001
137, 2.768843, 0.3457551, -1.548405
138, 1.971495, 1.232203, -1.470758
139, -0.4461017, 0.407033, -0.9322767
140, -0.4301538, 0.77424, -1.587517
141, -2.186092, 3.248545, -1.095825
142, 0.5154009, 3.108738, -1.886024
143, 2.165528, 0.2131162, 2.804773
144, -0.9145579, 3.42062, 0.6082783
145, -2.223423, 1.905296, -1.310667
146, 0.2784638, 2.367651, -1.094419
147, 1.398125, 3.410441, -0.8494387
148, -0.8552737, 2.745873, 1.788742
149, -2.179631, 3.763365, 2.650993
150, -0.08196354, 1.33437, -0.1381035
151, -2.261779, 2.224528, -1.4815
152, -1.56519, 1.537497, 1.573236
153, 1.979262, 1.583986, -1.347
154, 2.105993, 2.08502, -1.371317
155, 2.716734, 1.536548, -2.747759
156, -0.4513874, 1.548551, -2.417274
157, 0.2384572, 1.846691, -0.06912899
158, -1.470068, 1.907586, 1.600515
159, -0.09247208, 2.131587, 1.9114
160, -0.4577427, 0.6547623, 0.2153711
161, -2.98489, 1.01, 1.556976
162, -1.896196, 2.388018, 1.259359
163, 2.788365, 1.576169, -2.80619
164, -2.082889, 2.967971, -0.6037388
165, -1.80428, 1.38215, -1.446573
166, -0.5242157, 0.1728854, 0.5050907
167, -0.4965286, 1.708965, 2.87351
168, 0.241487, 2.465459, 1.276237
